sentence,gold_terms,term_type,source_dataset,is_single_word,is_multiword
I’m spending the weekend with my bae.,Bae,slang,genz_brainrot_slang,1,0
How’s it going? SSDD.,SSDD,slang,genz_brainrot_slang,1,0
"The beach is amazing, WYWH!",WYWH,slang,genz_brainrot_slang,1,0
I think he’s benching me—he texts but never makes plans.,Benching,slang,genz_brainrot_slang,1,0
"Everyone’s cuffing this fall, it’s relationship season.",Cuffing,slang,genz_brainrot_slang,1,0
"We need to DTR soon, I need to know where we stand.",DTR,slang,genz_brainrot_slang,1,0
"He keeps telling me I’m overreacting, but I think he’s gaslighting me.",Gaslighting,slang,genz_brainrot_slang,1,0
"Goodnight, ILY!",ILY,slang,genz_brainrot_slang,1,0
"They hooked up last night, definitely a smash.",Smash,slang,genz_brainrot_slang,1,0
"We’ve been hanging out a lot, but it’s just a situationship.",Situationship,slang,genz_brainrot_slang,1,0
"Look at him in that suit, total zaddy vibes.",Zaddy,slang,genz_brainrot_slang,1,0
"He ghosted me months ago, and now he’s zombie-ing by texting me again.",Zombie-ing,slang,genz_brainrot_slang,1,0
"I’ll be AFK for 10 minutes, need to take a break.",AFK,slang,genz_brainrot_slang,1,0
I need that report ASAP!,ASAP,slang,genz_brainrot_slang,1,0
"I’m ATK, ready for the meeting.",ATK,slang,genz_brainrot_slang,1,0
"I’m busy atm, can we talk later?",ATM,slang,genz_brainrot_slang,1,0
"Let’s meet up, I’m A3.",A3,slang,genz_brainrot_slang,1,0
"I’m BAK, what did I miss?",BAK,slang,genz_brainrot_slang,1,0
"I’m stepping out, BBL.",BBL,slang,genz_brainrot_slang,1,0
"Grabbing a snack, BBS.",BBS,slang,genz_brainrot_slang,1,0
"Got to run, BFN!",BFN,slang,genz_brainrot_slang,1,0
"Need to grab my phone, BRB.”",BRB,slang,genz_brainrot_slang,1,0
"Just parking, BRT!",BRT,slang,genz_brainrot_slang,1,0
"BTW, I’ll be late to the party.",BTW,slang,genz_brainrot_slang,1,0
I need to finish this B4 I go out.,B4,slang,genz_brainrot_slang,1,0
"Heading out, B4N!",B4N,slang,genz_brainrot_slang,1,0
"It was fun hanging out, CU later!",CU,slang,genz_brainrot_slang,1,0
"Got to go, CUL8R!",CUL8R,slang,genz_brainrot_slang,1,0
CYA tomorrow!,CYA,slang,genz_brainrot_slang,1,0
Check the FAQ before you ask questions.,FAQ,slang,genz_brainrot_slang,1,0
"I applied for the job, FC!",FC,slang,genz_brainrot_slang,1,0
"FWIW, I think you should go for it.",FWIW,slang,genz_brainrot_slang,1,0
"FYI, the meeting has been moved to 3 PM.",FYI,slang,genz_brainrot_slang,1,0
You’re still talking about that? GAL!,GAL,slang,genz_brainrot_slang,1,0
"That was a tough match, GG!",GG,slang,genz_brainrot_slang,1,0
"It’s late, GN!",GN,slang,genz_brainrot_slang,1,0
We ordered the same thing! GMTA.,GMTA,slang,genz_brainrot_slang,1,0
That party was GR8!,GR8,slang,genz_brainrot_slang,1,0
"I’m signing off, G9!",G9,slang,genz_brainrot_slang,1,0
"IC, that makes sense now.",IC,slang,genz_brainrot_slang,1,0
"You mean so much to me, ILU!",ILU,slang,genz_brainrot_slang,1,0
"IMHO, the sequel was better than the original.",IMHO,slang,genz_brainrot_slang,1,0
"IMO, that’s the best coffee shop in town.",IMO,slang,genz_brainrot_slang,1,0
"IOW, we need to finish the project by Friday.",IOW,slang,genz_brainrot_slang,1,0
We finally met IRL after months of online chatting.,IRL,slang,genz_brainrot_slang,1,0
Let’s just KISS this idea and avoid overcomplicating it.,KISS,slang,genz_brainrot_slang,1,0
We’ve been in an LDR for two years now.,LDR,slang,genz_brainrot_slang,1,0
That meme had me LMAO!,LMAO,slang,genz_brainrot_slang,1,0
"I just spilled coffee all over my desk, LOL.",LOL,slang,genz_brainrot_slang,1,0
LTNS! How have you been?,LTNS,slang,genz_brainrot_slang,1,0
"Gotta run, see you L8R!",L8R,slang,genz_brainrot_slang,1,0
That was so unnecessary! MTE.,MTE,slang,genz_brainrot_slang,1,0
"How’s it going, M8?",M8,slang,genz_brainrot_slang,1,0
"OIC, that makes sense now.",OIC,slang,genz_brainrot_slang,1,0
Dealing with this paperwork is such a PITA.,PITA,slang,genz_brainrot_slang,1,0
Are you going to the PRT tonight?,PRT,slang,genz_brainrot_slang,1,0
"I can’t talk right now, PRW.",PRW,slang,genz_brainrot_slang,1,0
That video had me ROFL!,ROFL,slang,genz_brainrot_slang,1,0
"I tripped and spilled my drink, ROFLOL!",ROFLOL,slang,genz_brainrot_slang,1,0
Let’s go Sk8 at the park this weekend.,SK8,slang,genz_brainrot_slang,1,0
I need those sales STATS by the end of the day.,STATS,slang,genz_brainrot_slang,1,0
What’s your ASL?,ASL,slang,genz_brainrot_slang,1,0
THX for helping me out!,THX,slang,genz_brainrot_slang,1,0
"I’m heading out, TTFN!",TTFN,slang,genz_brainrot_slang,1,0
"I’ve got to go, TTYL!",TTYL,slang,genz_brainrot_slang,1,0
How are U doing today?,U,slang,genz_brainrot_slang,1,0
Have a great day! U2!,U2,slang,genz_brainrot_slang,1,0
"I’ll always be there for you, U4E.",U4E,slang,genz_brainrot_slang,1,0
WB! How was your trip?,WB,slang,genz_brainrot_slang,1,0
WTF happened here?,WTF,slang,genz_brainrot_slang,1,0
You aced the exam? WTG!,WTG,slang,genz_brainrot_slang,1,0
WUF? You sound like you’re from the UK.,WUF,slang,genz_brainrot_slang,1,0
That move was 7K!,7K,slang,genz_brainrot_slang,1,0
TFW you finish a tough project and can finally relax.,TFW,slang,genz_brainrot_slang,1,0
"She just tripped over her own feet, LOL.",LOL,slang,genz_brainrot_slang,1,0
"This video is hilarious, but TNTL!",TNTL,slang,genz_brainrot_slang,1,0
You’re in trouble…JK!,JK,slang,genz_brainrot_slang,1,0
"You can pick the movie, IDC.",IDC,slang,genz_brainrot_slang,1,0
"Work was brutal today, ADIH.",ADIH,slang,genz_brainrot_slang,1,0
IDC what we eat for dinner.,IDC,slang,genz_brainrot_slang,1,0
"I’m exhausted, time for bed. ZZZ.",ZZZ,slang,genz_brainrot_slang,1,0
"This beach is so beautiful, WYWH!",WYWH,slang,genz_brainrot_slang,1,0
"That movie was so emotional, I have TIME right now.",TIME,slang,genz_brainrot_slang,1,0
Spending the day with BAE at the beach.,BAE,slang,genz_brainrot_slang,1,0
"Even though you’re far away, you’re FIMH.",FIMH,slang,genz_brainrot_slang,1,0
"You did great today, BSAAW!",BSAAW,slang,genz_brainrot_slang,1,0
That stand-up comedy had me BWL!,BWL,slang,genz_brainrot_slang,1,0
That joke had me LMAO all day!,LMAO,slang,genz_brainrot_slang,1,0
Can’t wait to hang out with my BFF this weekend!,BFF,slang,genz_brainrot_slang,1,0
"That video was so funny, I’m CSL!",CSL,slang,genz_brainrot_slang,1,0
"Hey, ?4U: Do you know what time the meeting is?",?4U,slang,genz_brainrot_slang,1,0
"Sorry, ;S, can you repeat that?",;S,slang,genz_brainrot_slang,1,0
I really appreciate you <3.,<3,slang,genz_brainrot_slang,1,0
"They broke up last night, </3",</3,slang,genz_brainrot_slang,1,0
I love you soooo much! <3333,<3333,slang,genz_brainrot_slang,1,0
"It was a tough project, but @TEOTD, it was worth it.",@TEOTD,slang,genz_brainrot_slang,1,0
Here’s my 0.02 on the situation: We should wait.,0.02,slang,genz_brainrot_slang,0,1
Got a 1UP in the game! Extra chance!,1UP,slang,genz_brainrot_slang,1,0
Let’s have a 121 meeting to go over the details.,121,slang,genz_brainrot_slang,1,0
"He’s so 1337 at coding, it’s impressive!",1337,slang,genz_brainrot_slang,1,0
"You’re my world, 143.",143,slang,genz_brainrot_slang,1,0
"1432, can’t wait to see you.",1432,slang,genz_brainrot_slang,1,0
"We’re a team, 14AA41!",14AA41,slang,genz_brainrot_slang,1,0
"You ate my last slice of pizza, 182!",182,slang,genz_brainrot_slang,1,0
"Got a 19, no help at all.",19,slang,genz_brainrot_slang,1,0
We’ve got a 10M team working on this project.,10M,slang,genz_brainrot_slang,1,0
"You’ve been a big help, 10X!",10X,slang,genz_brainrot_slang,1,0
10Q for your feedback on the report,10Q,slang,genz_brainrot_slang,1,0
"I’ve only been there 1CE, but I loved it.",1CE,slang,genz_brainrot_slang,1,0
1DR what the weather will be like tomorrow.,1DR,slang,genz_brainrot_slang,1,0
"You’re amazing, truly 1NAM!",1NAM,slang,genz_brainrot_slang,1,0
I’m heading 2 the store.,2,slang,genz_brainrot_slang,1,0
What’s the 20 for the party tonight?,20,slang,genz_brainrot_slang,1,0
The answer seems 2B clear now.,2B,slang,genz_brainrot_slang,1,0
That exam was 2EZ!,2EZ,slang,genz_brainrot_slang,1,0
That deal sounds 2G2BT.,2G2BT,slang,genz_brainrot_slang,1,0
All this work is 2M2H right now.,2M2H,slang,genz_brainrot_slang,1,0
"You’re sharing way too much, 2MI!",2MI,slang,genz_brainrot_slang,1,0
Let’s finish this 2MOR.,2MOR,slang,genz_brainrot_slang,1,0
See you 2MORO at the meeting.,2MORO,slang,genz_brainrot_slang,1,0
Are you coming to the concert 2N8?,2N8,slang,genz_brainrot_slang,1,0
I’m free 2NTE if you want to hang out.,2NTE,slang,genz_brainrot_slang,1,0
Can you give me the 411 on what happened?,411,slang,genz_brainrot_slang,1,0
"When it comes to math, I’m totally 404.",404,slang,genz_brainrot_slang,1,0
You coming to the 420 party this weekend?,420,slang,genz_brainrot_slang,1,0
"You’re everything to me, 459",459,slang,genz_brainrot_slang,1,0
That movie is rated 4AO.,4AO,slang,genz_brainrot_slang,1,0
"I told you to clean your room, 4COL!",4COL,slang,genz_brainrot_slang,1,0
You’ll be in my heart 4EAE.,4EAE,slang,genz_brainrot_slang,1,0
Friends 4EVA!,4EVA,slang,genz_brainrot_slang,1,0
"He’s from Europe, total 4NR.",4NR,slang,genz_brainrot_slang,1,0
I’m putting my old car 4SALE.,4SALE,slang,genz_brainrot_slang,1,0
"We nailed that presentation, ^5!",^5,slang,genz_brainrot_slang,1,0
"That’s a bit too personal, 511!",511,slang,genz_brainrot_slang,1,0
"That movie made me cry, 555.",555,slang,genz_brainrot_slang,1,0
"I lost my keys again, 55555!",55555,slang,genz_brainrot_slang,1,0
"That joke was hilarious, 55555!",55555,slang,genz_brainrot_slang,1,0
You’re looking 6Y in that outfit!,6Y,slang,genz_brainrot_slang,1,0
That trick was 7K!,7K,slang,genz_brainrot_slang,1,0
Saw a bunch of 81 members at the rally.,81,slang,genz_brainrot_slang,1,0
"You mean the world to me, 831.",831,slang,genz_brainrot_slang,1,0
We need to 86 that project; it’s not working.,86,slang,genz_brainrot_slang,1,0
"I’ve got to go, 88!",88,slang,genz_brainrot_slang,1,0
"Goodnight, 88!",88,slang,genz_brainrot_slang,1,0
"Can’t talk right now, 9.",9,slang,genz_brainrot_slang,1,0
"That was sweet of you, *s*.",*s*,slang,genz_brainrot_slang,1,0
I’ll see you later *w*.,*w*,slang,genz_brainrot_slang,1,0
"Let me know when you’re free, I’m A3!",A3,slang,genz_brainrot_slang,1,0
He’s been attending AA meetings for a year now.,AA,slang,genz_brainrot_slang,1,0
See the AA instructions for details.,AA,slang,genz_brainrot_slang,1,0
"If you’re unsure, just AA the manager.",AA,slang,genz_brainrot_slang,1,0
"AAF, I did finish the report yesterday.",AAF,slang,genz_brainrot_slang,1,0
I only see him AAF.,AAF,slang,genz_brainrot_slang,1,0
"Sorry for the late response, I was AAK last night.",AAK,slang,genz_brainrot_slang,1,0
"Don’t worry about me, I’m still AAK!",AAK,slang,genz_brainrot_slang,1,0
"AAMOF, I was just about to call you.",AAMOF,slang,genz_brainrot_slang,1,0
"AAMOI, do you know when the meeting starts?",AAMOI,slang,genz_brainrot_slang,1,0
Thanks for your help! AAP!,AAP,slang,genz_brainrot_slang,1,0
"AAR, we should meet next week to discuss this.",AAR,slang,genz_brainrot_slang,1,0
"Despite everything, I’m still AAS!",AAS,slang,genz_brainrot_slang,1,0
"You’re right again, AASHTA!",AASHTA,slang,genz_brainrot_slang,1,0
She’s been AATK all night working on that project.,AATK,slang,genz_brainrot_slang,1,0
"Take care, AAYF, until next time!",AAYF,slang,genz_brainrot_slang,1,0
LOL is an ABBR for ‘laugh out loud’.,ABBR,slang,genz_brainrot_slang,1,0
"These ideas are ABC, let’s come up with something original.",ABC,slang,genz_brainrot_slang,1,0
"Don’t worry about the task, it’s ABD.",ABD,slang,genz_brainrot_slang,1,0
I’m ABT to leave for the meeting.,ABT,slang,genz_brainrot_slang,1,0
I’m ABT2 finish my assignment.,ABT2,slang,genz_brainrot_slang,1,0
"It was nice seeing you, ABTA!",ABTA,slang,genz_brainrot_slang,1,0
My computer is ABU after that update.,ABU,slang,genz_brainrot_slang,1,0
"The report you sent looks good, AC.",AC,slang,genz_brainrot_slang,1,0
"The party is open to everyone, ACC.",ACC,slang,genz_brainrot_slang,1,0
"When your computer freezes, just ACD.",ACD,slang,genz_brainrot_slang,1,0
"Had a minor ACDNT on the way home, but I’m okay.",ACDNT,slang,genz_brainrot_slang,1,0
Let’s roll an ACE for the weekend.,ACE,slang,genz_brainrot_slang,1,0
Can you ACK that you received the package?,ACK,slang,genz_brainrot_slang,1,0
Did you ACPT the terms of the contract?,ACPT,slang,genz_brainrot_slang,1,0
The company’s latest ACQSTN was a huge success.,ACQSTN,slang,genz_brainrot_slang,1,0
"Work was tough today, but ADAD.",ADAD,slang,genz_brainrot_slang,1,0
"Finished the project, ADBB!",ADBB,slang,genz_brainrot_slang,1,0
Can you send me your ADD for the invitation?,ADD,slang,genz_brainrot_slang,1,0
What’s your ADDY for the party?,ADDY,slang,genz_brainrot_slang,1,0
"That meeting was rough, ADIH.",ADIH,slang,genz_brainrot_slang,1,0
"Spent the day at the beach, ADIP!",ADIP,slang,genz_brainrot_slang,1,0
You’ll need to talk to the ADMIN to get access.,ADMIN,slang,genz_brainrot_slang,1,0
She’s the ADMINR for this forum.,ADMINR,slang,genz_brainrot_slang,1,0
The package should arrive ADN.,ADN,slang,genz_brainrot_slang,1,0
I sent the package to your ADR.,ADR,slang,genz_brainrot_slang,1,0
The spell has an AE that affects multiple enemies.,AE,slang,genz_brainrot_slang,1,0
We need that report AEAP!,AEAP,slang,genz_brainrot_slang,1,0
"Got you good with that prank, AF!",AF,slang,genz_brainrot_slang,1,0
That was cool AF!,AF,slang,genz_brainrot_slang,1,0
"His AF was too high in that game, he played too aggressively.",AF,slang,genz_brainrot_slang,1,0
"Be right back, AFC for a bit.",AFC,slang,genz_brainrot_slang,1,0
"AFAIAA, the meeting is still on schedule.",AFAIAA,slang,genz_brainrot_slang,1,0
"AFAIC, we’re good to go.",AFAIC,slang,genz_brainrot_slang,1,0
"AFAIK, they haven’t made a decision yet.",AFAIK,slang,genz_brainrot_slang,1,0
"AFAIUI, the project is almost finished.",AFAIUI,slang,genz_brainrot_slang,1,0
"Finish the task AFAP, it’s a priority.",AFAP,slang,genz_brainrot_slang,1,0
He had an AFFA tattoo on his arm.,AFFA,slang,genz_brainrot_slang,1,0
"That wasn’t serious, just an AFJ!",AFJ,slang,genz_brainrot_slang,1,0
"I’ll be AFK for a few minutes, need a break.",AFK,slang,genz_brainrot_slang,1,0
"No need for abbreviations, this is an AFZ.",AFZ,slang,genz_brainrot_slang,1,0
I need AFPOE to review this document.,AFPOE,slang,genz_brainrot_slang,1,0
He’s got max AGI stats in the game.,AGI,slang,genz_brainrot_slang,1,0
"I’m AH, just relaxing today.",AH,slang,genz_brainrot_slang,1,0
You’re saying you finished that in 5 minutes? AIAMU!,AIAMU,slang,genz_brainrot_slang,1,0
"I’ll see you tomorrow, AIGHT?",AIGHT,slang,genz_brainrot_slang,1,0
"AIR, the deadline was next week.",AIR,slang,genz_brainrot_slang,1,0
"Everything is going smoothly, AISB.",AISB,slang,genz_brainrot_slang,1,0
"AISB, we need to stick to the original plan.",AISB,slang,genz_brainrot_slang,1,0
"AISI, we should approach this problem differently.",AISI,slang,genz_brainrot_slang,1,0
I need to be the AITR and handle this responsibly.,AITR,slang,genz_brainrot_slang,1,0
He’s AKA the best coder in the company.,AKA,slang,genz_brainrot_slang,1,0
Please send this memo to ALCON.,ALCON,slang,genz_brainrot_slang,1,0
"That was so funny, ALOL!",ALOL,slang,genz_brainrot_slang,1,0
Doing an AMA session on Reddit later!,AMA,slang,genz_brainrot_slang,1,0
Please work AMAP on this project today.,AMAP,slang,genz_brainrot_slang,1,0
"Congrats on your promotion, AMBW!",AMBW,slang,genz_brainrot_slang,1,0
"Miss you, AML!",AML,slang,genz_brainrot_slang,1,0
"AMOF, I was planning to call you today.",AMOF,slang,genz_brainrot_slang,1,0
A/N: I’ll update the next chapter soon.,A/N,slang,genz_brainrot_slang,0,1
I’ve been playing AO all weekend.,AO,slang,genz_brainrot_slang,1,0
I’m AOC if you need to reach me.,AOC,slang,genz_brainrot_slang,1,0
The mage cast an AOE spell on the enemies.,AOE,slang,genz_brainrot_slang,1,0
"She just turned 18, officially at the AOM.",AOM,slang,genz_brainrot_slang,1,0
I’m playing AOM with some friends later.,AOM,slang,genz_brainrot_slang,1,0
When it comes to reasons I’m tired: AOTA.,AOTA,slang,genz_brainrot_slang,1,0
"Goodnight, sleep tight, AOYP.",AOYP,slang,genz_brainrot_slang,1,0
APAC to the entire team for the hard work!,APAC,slang,genz_brainrot_slang,1,0
I need to install this APP for work.,APP,slang,genz_brainrot_slang,1,0
"Thanks for your help, APP!",APP,slang,genz_brainrot_slang,1,0
We need to finish this AQAP!,AQAP,slang,genz_brainrot_slang,1,0
I'll ARC these old files.,ARC,slang,genz_brainrot_slang,1,0
Working in tech means being in an ARE.,ARE,slang,genz_brainrot_slang,1,0
Had a huge ARG with my friend last night.,ARG,slang,genz_brainrot_slang,1,0
"The plan didn’t work, ASIG.",ASIG,slang,genz_brainrot_slang,1,0
Can you send me the report ASAP?,ASAP,slang,genz_brainrot_slang,1,0
"Hey, A/S/L?",A/S/L,slang,genz_brainrot_slang,0,1
What's your ASL?,ASL,slang,genz_brainrot_slang,1,0
Can you give me your ASLA?,ASLA,slang,genz_brainrot_slang,1,0
I'll be AT in 5 minutes.,AT,slang,genz_brainrot_slang,1,0
"Good luck with your exams, ATB!",ATB,slang,genz_brainrot_slang,1,0
"ATEOTD, we just want the project to succeed.",ATEOTD,slang,genz_brainrot_slang,1,0
I’m really busy ATM.,ATM,slang,genz_brainrot_slang,1,0
I love you more than ATSITS.,ATSITS,slang,genz_brainrot_slang,1,0
"ATSL, we should consider other options.",ATSL,slang,genz_brainrot_slang,1,0
See you later! AWC!,AWC,slang,genz_brainrot_slang,1,0
That party was AWESO!,AWESO,slang,genz_brainrot_slang,1,0
He’s been AWOL for a few days now.,AWOL,slang,genz_brainrot_slang,1,0
He went AWOL during the meeting.,AWOL,slang,genz_brainrot_slang,1,0
"I’m waiting, AYDY?",AYDY,slang,genz_brainrot_slang,1,0
